,entity_id,score,label_value,race,sex,age_cat
66,97,0.0,0,Hispanic,Male,Greater than 45
67,98,1.0,1,Caucasian,Male,25 - 45
68,99,0.0,0,Hispanic,Male,25 - 45
69,100,0.0,0,Caucasian,Female,Greater than 45
70,101,0.0,1,Hispanic,Male,Greater than 45
71,102,0.0,0,Hispanic,Male,Less than 25
72,105,0.0,0,African-American,Male,25 - 45
73,107,1.0,1,African-American,Male,25 - 45
74,108,1.0,1,African-American,Male,25 - 45
75,111,0.0,0,African-American,Male,25 - 45
76,113,0.0,1,African-American,Male,Less than 25
77,114,1.0,0,Caucasian,Male,Less than 25
78,115,0.0,1,Caucasian,Female,25 - 45
79,116,1.0,1,Caucasian,Male,25 - 45
80,119,0.0,0,African-American,Male,25 - 45
81,120,0.0,0,African-American,Male,25 - 45
82,122,1.0,1,African-American,Male,25 - 45
83,127,0.0,1,Asian,Male,Greater than 45
84,128,1.0,1,African-American,Male,25 - 45
85,130,1.0,1,African-American,Female,Less than 25
86,131,1.0,1,African-American,Male,Less than 25
87,132,1.0,1,Hispanic,Male,Less than 25
88,136,0.0,0,African-American,Female,25 - 45
89,137,1.0,1,African-American,Male,25 - 45
90,138,1.0,1,Caucasian,Male,25 - 45
91,139,1.0,1,African-American,Male,Less than 25
92,142,1.0,1,Caucasian,Male,25 - 45
93,143,1.0,0,African-American,Male,Greater than 45
94,145,1.0,0,Hispanic,Female,Less than 25
95,146,0.0,1,Caucasian,Male,25 - 45
96,147,0.0,0,Caucasian,Male,Greater than 45
97,148,0.0,0,Caucasian,Female,Greater than 45
98,150,0.0,0,Caucasian,Female,25 - 45
99,151,0.0,1,African-American,Male,Less than 25
100,152,0.0,0,African-American,Male,Less than 25
101,153,0.0,0,Caucasian,Male,25 - 45
102,154,0.0,1,Hispanic,Female,25 - 45
103,156,1.0,1,Caucasian,Male,Less than 25
104,157,0.0,0,Hispanic,Male,25 - 45
105,158,1.0,0,Caucasian,Male,25 - 45
106,159,0.0,0,African-American,Female,25 - 45
107,160,1.0,1,African-American,Male,Greater than 45
108,163,0.0,0,Asian,Male,25 - 45
109,166,1.0,1,African-American,Male,Less than 25
110,169,0.0,1,Caucasian,Male,25 - 45
111,171,1.0,0,Hispanic,Male,25 - 45
112,173,1.0,1,African-American,Male,25 - 45
113,174,0.0,0,African-American,Male,25 - 45
114,175,0.0,1,Hispanic,Male,25 - 45
115,176,1.0,1,African-American,Male,25 - 45
116,177,0.0,1,African-American,Male,Less than 25
117,178,1.0,1,African-American,Male,25 - 45
118,180,1.0,0,African-American,Male,25 - 45
119,182,0.0,0,African-American,Female,25 - 45
120,183,1.0,1,Caucasian,Male,25 - 45
121,184,1.0,1,African-American,Male,25 - 45
122,187,1.0,0,African-American,Male,Greater than 45
123,189,1.0,0,African-American,Male,Greater than 45
124,190,1.0,1,African-American,Male,25 - 45
125,192,0.0,0,Caucasian,Female,Greater than 45
126,193,1.0,1,Hispanic,Male,Less than 25
127,194,0.0,0,Caucasian,Male,25 - 45
128,195,0.0,0,Caucasian,Female,25 - 45
129,197,0.0,0,Caucasian,Male,25 - 45
130,199,0.0,0,Asian,Male,25 - 45
131,200,0.0,0,African-American,Female,25 - 45
132,202,0.0,1,African-American,Male,25 - 45
133,203,0.0,0,Caucasian,Female,Less than 25
134,206,0.0,1,Hispanic,Female,25 - 45
135,208,0.0,1,Caucasian,Male,25 - 45
136,209,1.0,1,Hispanic,Female,25 - 45
137,210,1.0,1,African-American,Male,25 - 45
138,213,0.0,1,Caucasian,Male,25 - 45
139,215,0.0,0,Caucasian,Male,25 - 45
140,216,0.0,1,Caucasian,Male,Greater than 45
141,218,0.0,0,Caucasian,Male,Greater than 45
142,220,1.0,0,African-American,Female,Less than 25
143,222,0.0,0,Caucasian,Female,25 - 45
144,223,1.0,1,African-American,Male,25 - 45
145,224,1.0,1,African-American,Male,25 - 45
146,225,1.0,1,African-American,Male,25 - 45
147,227,0.0,1,African-American,Female,25 - 45
148,228,1.0,1,Asian,Female,25 - 45
149,229,1.0,1,Caucasian,Male,25 - 45
150,231,1.0,0,African-American,Female,Less than 25
151,232,1.0,0,Caucasian,Female,25 - 45
152,234,0.0,1,African-American,Female,Greater than 45
153,235,1.0,1,Caucasian,Male,Greater than 45
154,236,0.0,0,Hispanic,Male,Greater than 45
155,238,1.0,1,African-American,Female,25 - 45
156,239,0.0,0,Hispanic,Male,25 - 45
157,240,0.0,0,African-American,Female,Greater than 45
158,241,0.0,1,Hispanic,Female,25 - 45
159,242,0.0,0,African-American,Male,Greater than 45
160,243,0.0,0,Caucasian,Male,25 - 45
161,244,1.0,1,Caucasian,Female,25 - 45
162,245,1.0,0,African-American,Male,25 - 45
163,246,0.0,0,Caucasian,Male,Greater than 45
164,248,0.0,0,African-American,Male,Less than 25
165,249,0.0,1,Caucasian,Male,Greater than 45
166,251,1.0,0,African-American,Female,Greater than 45
167,252,1.0,0,Caucasian,Male,25 - 45
168,254,0.0,1,African-American,Male,25 - 45
169,257,0.0,0,Hispanic,Male,Less than 25
170,258,1.0,0,African-American,Female,25 - 45
171,259,0.0,0,Hispanic,Male,Greater than 45
172,260,0.0,0,African-American,Male,Greater than 45
173,262,1.0,0,African-American,Female,25 - 45
174,263,0.0,0,Caucasian,Male,Greater than 45
175,264,1.0,1,Hispanic,Male,25 - 45
176,265,1.0,1,Asian,Male,25 - 45
177,266,0.0,0,Hispanic,Male,Greater than 45
178,267,0.0,0,Hispanic,Male,Greater than 45
179,268,0.0,1,Asian,Male,Greater than 45
180,269,0.0,0,Hispanic,Male,Greater than 45
181,271,0.0,0,Asian,Male,Less than 25
182,272,1.0,1,African-American,Male,25 - 45
183,275,1.0,1,African-American,Male,Less than 25
184,277,1.0,1,African-American,Male,Greater than 45
185,278,0.0,1,African-American,Male,Less than 25
186,279,0.0,0,Hispanic,Male,Greater than 45
187,280,1.0,1,Caucasian,Female,25 - 45
188,281,0.0,0,Caucasian,Male,Greater than 45
189,282,0.0,1,Caucasian,Male,Greater than 45
190,285,0.0,1,Asian,Female,Greater than 45
191,286,1.0,1,African-American,Male,25 - 45
192,287,1.0,1,Caucasian,Male,25 - 45
193,288,0.0,1,Hispanic,Male,25 - 45
194,289,1.0,1,African-American,Male,25 - 45
195,291,0.0,0,African-American,Male,Greater than 45
196,293,0.0,1,African-American,Male,Less than 25
197,294,0.0,0,African-American,Male,25 - 45
198,297,0.0,0,Hispanic,Female,Less than 25
199,298,0.0,1,African-American,Female,25 - 45
200,299,0.0,0,Caucasian,Male,Greater than 45
201,300,0.0,0,African-American,Female,25 - 45
202,301,0.0,0,Caucasian,Male,25 - 45
203,302,1.0,1,African-American,Female,25 - 45
204,304,1.0,1,African-American,Male,Less than 25
205,306,1.0,1,Caucasian,Male,25 - 45
206,308,0.0,0,African-American,Male,25 - 45
207,310,1.0,0,African-American,Female,25 - 45
208,311,1.0,1,Caucasian,Male,25 - 45
209,313,1.0,1,African-American,Female,25 - 45
210,315,0.0,0,African-American,Male,25 - 45
211,316,0.0,0,Hispanic,Male,25 - 45
212,317,1.0,0,African-American,Female,25 - 45
213,319,0.0,1,African-American,Male,Greater than 45
214,320,1.0,0,Caucasian,Male,25 - 45
215,321,1.0,0,African-American,Male,25 - 45
216,322,1.0,0,African-American,Male,Greater than 45
217,323,0.0,0,Hispanic,Male,25 - 45
218,325,0.0,0,Caucasian,Male,Greater than 45
219,326,0.0,1,African-American,Female,Greater than 45
220,327,0.0,0,Caucasian,Male,Greater than 45
221,329,0.0,1,African-American,Male,25 - 45
222,330,0.0,0,African-American,Male,Greater than 45
223,331,0.0,1,Caucasian,Male,25 - 45
224,332,1.0,0,Asian,Female,25 - 45
225,333,1.0,0,African-American,Female,25 - 45
226,334,1.0,1,African-American,Male,25 - 45
227,335,0.0,0,Caucasian,Male,25 - 45
228,336,0.0,1,African-American,Male,25 - 45
229,337,1.0,0,African-American,Male,Greater than 45
230,338,1.0,0,African-American,Male,Less than 25
231,341,0.0,1,African-American,Female,25 - 45
232,344,0.0,0,Hispanic,Female,25 - 45
233,345,0.0,0,Caucasian,Male,Greater than 45
234,347,0.0,1,African-American,Male,25 - 45
235,348,0.0,0,African-American,Male,Greater than 45
236,349,0.0,0,Caucasian,Male,25 - 45
237,350,1.0,1,African-American,Male,25 - 45
238,351,1.0,0,Caucasian,Male,25 - 45
239,354,0.0,0,African-American,Male,Less than 25
240,355,0.0,0,African-American,Male,25 - 45
241,356,0.0,0,Hispanic,Male,25 - 45
242,357,1.0,1,Asian,Female,25 - 45
243,358,0.0,1,Caucasian,Female,25 - 45
244,359,1.0,0,Caucasian,Male,25 - 45
245,360,1.0,0,African-American,Male,25 - 45
246,361,0.0,0,Caucasian,Male,Greater than 45
247,362,1.0,1,African-American,Male,25 - 45
248,363,1.0,1,Caucasian,Male,25 - 45
249,364,0.0,0,Hispanic,Male,25 - 45
250,366,1.0,1,Hispanic,Male,Less than 25
251,369,0.0,0,African-American,Female,25 - 45
252,372,0.0,0,Caucasian,Female,25 - 45
253,374,1.0,1,Caucasian,Male,25 - 45
254,375,0.0,0,Caucasian,Male,25 - 45
255,376,1.0,1,Caucasian,Male,Less than 25
256,377,1.0,1,Caucasian,Female,Less than 25
257,378,0.0,1,African-American,Male,25 - 45
258,379,0.0,0,Hispanic,Female,25 - 45
259,381,1.0,1,Hispanic,Male,Less than 25
260,382,1.0,1,Caucasian,Female,Less than 25
261,383,1.0,0,Hispanic,Male,Less than 25
262,384,0.0,0,African-American,Male,25 - 45
263,385,1.0,1,Caucasian,Male,Less than 25
264,386,1.0,1,African-American,Male,25 - 45
265,389,0.0,0,African-American,Male,25 - 45
266,390,0.0,0,African-American,Male,25 - 45
267,392,0.0,0,Caucasian,Male,25 - 45
268,393,0.0,0,African-American,Female,25 - 45
269,396,1.0,0,Caucasian,Male,Less than 25
270,398,1.0,0,Hispanic,Male,Less than 25
271,399,0.0,0,Caucasian,Female,Greater than 45
272,400,0.0,1,African-American,Female,Less than 25
273,402,0.0,0,African-American,Female,Greater than 45
274,403,1.0,1,African-American,Male,Greater than 45
275,404,1.0,0,Hispanic,Male,25 - 45
276,405,1.0,1,Caucasian,Male,25 - 45
277,406,1.0,1,African-American,Male,25 - 45
278,407,1.0,1,African-American,Female,Less than 25
279,408,0.0,0,African-American,Female,Less than 25
280,409,1.0,0,African-American,Female,25 - 45
281,410,0.0,0,Caucasian,Male,25 - 45
282,411,0.0,0,African-American,Female,25 - 45
283,414,0.0,0,African-American,Female,25 - 45
284,415,1.0,0,Caucasian,Male,25 - 45
285,416,1.0,1,Caucasian,Male,Greater than 45
286,417,0.0,0,African-American,Male,25 - 45
287,423,0.0,0,Caucasian,Male,25 - 45
288,424,0.0,1,African-American,Male,25 - 45
289,425,0.0,0,Caucasian,Male,Greater than 45
290,426,0.0,1,Hispanic,Male,Greater than 45
291,428,0.0,0,Caucasian,Male,Greater than 45
292,429,1.0,1,African-American,Male,Less than 25
293,430,1.0,1,African-American,Male,25 - 45
294,431,0.0,1,Hispanic,Male,25 - 45
295,432,0.0,0,Caucasian,Male,25 - 45
296,434,1.0,1,African-American,Male,Less than 25
297,435,0.0,0,African-American,Male,25 - 45
298,437,1.0,1,Hispanic,Male,Less than 25
299,438,0.0,1,African-American,Male,25 - 45
300,439,0.0,0,African-American,Male,25 - 45
301,440,0.0,1,African-American,Male,25 - 45
302,441,0.0,0,Asian,Male,Less than 25
303,442,0.0,1,Caucasian,Male,25 - 45
304,445,0.0,0,Hispanic,Male,Greater than 45
305,446,1.0,0,African-American,Male,Less than 25
306,450,1.0,0,African-American,Male,Less than 25
307,451,1.0,1,African-American,Male,Less than 25
308,452,0.0,0,Caucasian,Male,Greater than 45
309,454,1.0,1,African-American,Male,25 - 45
310,456,0.0,0,Caucasian,Female,25 - 45
311,457,0.0,1,African-American,Male,25 - 45
312,459,0.0,0,African-American,Female,25 - 45
313,461,0.0,0,Hispanic,Male,Less than 25
314,462,0.0,0,African-American,Male,25 - 45
315,463,0.0,1,Caucasian,Male,25 - 45
316,464,0.0,1,Hispanic,Female,25 - 45
317,465,0.0,0,African-American,Female,25 - 45
318,467,1.0,1,Asian,Female,Less than 25
319,468,0.0,0,African-American,Male,25 - 45
320,469,1.0,1,African-American,Male,Less than 25
321,474,0.0,0,African-American,Female,Greater than 45
322,475,0.0,0,Caucasian,Male,Greater than 45
323,478,1.0,0,African-American,Male,25 - 45
324,480,1.0,1,African-American,Male,Less than 25
325,481,0.0,0,Caucasian,Male,Greater than 45
326,484,1.0,0,Caucasian,Male,25 - 45
327,485,1.0,1,African-American,Male,Less than 25
328,487,1.0,1,Caucasian,Male,Greater than 45
329,489,0.0,1,Hispanic,Male,25 - 45
330,493,0.0,0,Caucasian,Male,Greater than 45
331,494,1.0,0,Hispanic,Male,Less than 25
332,495,1.0,0,Hispanic,Female,25 - 45
333,496,0.0,1,Hispanic,Female,25 - 45
334,497,0.0,0,Hispanic,Female,Less than 25
335,499,1.0,0,Caucasian,Male,25 - 45
336,500,1.0,1,African-American,Male,Less than 25
337,501,0.0,0,Caucasian,Male,25 - 45
338,502,0.0,0,African-American,Male,Less than 25
339,503,1.0,1,African-American,Male,25 - 45
340,504,0.0,1,African-American,Male,25 - 45
341,505,0.0,0,African-American,Female,25 - 45
342,509,1.0,0,Hispanic,Female,25 - 45
343,510,0.0,0,Hispanic,Male,Greater than 45
344,511,0.0,0,Hispanic,Male,25 - 45
345,512,1.0,0,African-American,Female,25 - 45
346,516,1.0,1,African-American,Male,25 - 45
347,517,1.0,0,African-American,Male,Less than 25
348,518,0.0,0,Caucasian,Male,Greater than 45
349,521,0.0,1,African-American,Female,25 - 45
350,522,0.0,0,Caucasian,Male,25 - 45
351,523,1.0,1,Caucasian,Male,Less than 25
352,524,1.0,0,Hispanic,Male,25 - 45
353,525,0.0,0,Asian,Female,25 - 45
354,526,1.0,0,Caucasian,Female,Less than 25
355,527,0.0,0,Caucasian,Male,Greater than 45
356,530,1.0,0,Asian,Male,Less than 25
357,531,1.0,1,African-American,Male,25 - 45
358,532,0.0,0,Caucasian,Male,Less than 25
359,533,1.0,1,African-American,Female,Less than 25
360,537,1.0,0,Caucasian,Male,Greater than 45
361,538,0.0,0,Caucasian,Male,25 - 45
362,540,0.0,0,Caucasian,Male,Greater than 45
363,541,1.0,0,African-American,Female,25 - 45
364,542,1.0,1,African-American,Male,Less than 25
365,543,1.0,1,Hispanic,Male,25 - 45
366,545,0.0,0,African-American,Female,Less than 25
367,546,0.0,0,Hispanic,Male,25 - 45
368,547,0.0,0,Caucasian,Male,25 - 45
369,548,0.0,0,African-American,Male,Less than 25
370,552,1.0,1,Caucasian,Male,Less than 25
371,553,1.0,0,African-American,Male,Greater than 45
372,557,1.0,1,African-American,Male,Less than 25
373,558,1.0,1,African-American,Male,Less than 25
374,561,0.0,0,Caucasian,Male,25 - 45
375,563,0.0,1,Hispanic,Female,Greater than 45
376,565,1.0,1,Caucasian,Male,25 - 45
377,566,1.0,1,African-American,Male,25 - 45
378,567,0.0,0,Caucasian,Female,Greater than 45
379,569,0.0,0,African-American,Female,Less than 25
380,572,0.0,0,African-American,Male,25 - 45
381,573,0.0,0,African-American,Male,25 - 45
382,574,0.0,0,Caucasian,Male,Less than 25
383,576,1.0,1,African-American,Male,25 - 45
384,579,1.0,1,African-American,Male,Less than 25
385,580,1.0,0,Caucasian,Male,Less than 25
386,581,1.0,1,Caucasian,Male,25 - 45
387,584,1.0,0,African-American,Male,25 - 45
388,586,0.0,0,African-American,Male,Greater than 45
389,587,0.0,0,Caucasian,Male,Greater than 45
390,588,0.0,0,Caucasian,Male,25 - 45
391,590,1.0,1,Caucasian,Male,Greater than 45
392,594,0.0,0,Hispanic,Female,Greater than 45
393,597,1.0,1,Caucasian,Male,25 - 45
394,598,1.0,0,African-American,Male,25 - 45
395,599,0.0,0,Hispanic,Male,25 - 45
396,600,0.0,0,Hispanic,Female,25 - 45
397,601,1.0,1,Hispanic,Male,Greater than 45
398,602,1.0,1,African-American,Male,25 - 45
399,603,1.0,0,African-American,Male,25 - 45
400,604,1.0,1,African-American,Male,Less than 25
401,605,1.0,0,Caucasian,Female,25 - 45
402,608,0.0,0,Caucasian,Male,25 - 45
403,609,0.0,0,Caucasian,Male,Greater than 45
404,611,0.0,0,African-American,Male,Greater than 45
405,612,1.0,1,African-American,Male,25 - 45
406,613,0.0,1,African-American,Female,Greater than 45
407,616,0.0,0,African-American,Male,25 - 45
408,617,0.0,0,African-American,Male,Greater than 45
409,621,0.0,0,Hispanic,Male,Less than 25
410,622,1.0,0,Caucasian,Male,25 - 45
411,623,0.0,0,Caucasian,Male,Greater than 45
412,624,1.0,0,African-American,Female,Less than 25
413,625,0.0,1,Caucasian,Female,25 - 45
414,627,1.0,0,African-American,Male,Greater than 45
415,628,0.0,1,Caucasian,Male,25 - 45
416,629,0.0,0,Hispanic,Male,Less than 25
417,630,0.0,0,Hispanic,Male,Less than 25
418,633,0.0,0,Caucasian,Female,Greater than 45
419,635,0.0,1,African-American,Male,25 - 45
420,637,1.0,1,Caucasian,Male,Less than 25
421,638,1.0,1,African-American,Male,25 - 45
422,639,0.0,0,Caucasian,Male,25 - 45
423,640,1.0,1,African-American,Male,Less than 25
424,641,1.0,1,Caucasian,Male,25 - 45
425,643,1.0,0,African-American,Female,25 - 45
426,644,1.0,1,African-American,Male,Greater than 45
427,645,1.0,0,African-American,Male,Less than 25
428,646,0.0,1,Hispanic,Male,Greater than 45
429,647,0.0,0,Hispanic,Male,25 - 45
430,648,1.0,1,African-American,Male,Greater than 45
431,649,0.0,0,Hispanic,Male,25 - 45
432,651,0.0,0,African-American,Male,25 - 45
433,653,1.0,1,Hispanic,Male,Less than 25
434,654,0.0,0,Caucasian,Male,25 - 45
435,656,1.0,0,Caucasian,Male,25 - 45
436,657,1.0,1,Caucasian,Female,Less than 25
437,659,1.0,1,Hispanic,Male,Less than 25
438,660,0.0,0,Hispanic,Male,25 - 45
439,662,1.0,0,Hispanic,Female,Less than 25
440,664,0.0,0,Asian,Male,25 - 45
441,668,1.0,1,Hispanic,Male,25 - 45
442,669,1.0,1,Caucasian,Male,Less than 25
443,673,1.0,1,African-American,Male,25 - 45
444,674,0.0,1,African-American,Male,Less than 25
445,675,0.0,0,Caucasian,Male,Greater than 45
446,678,0.0,0,African-American,Male,Greater than 45
447,679,0.0,0,African-American,Male,25 - 45
448,680,0.0,0,African-American,Male,25 - 45
449,681,0.0,0,Caucasian,Male,Less than 25
450,684,0.0,0,Caucasian,Male,Greater than 45
451,685,1.0,1,African-American,Female,Greater than 45
452,686,0.0,1,Caucasian,Male,25 - 45
453,687,1.0,1,African-American,Male,Less than 25
454,688,1.0,1,Caucasian,Male,25 - 45
455,689,1.0,0,African-American,Female,Greater than 45
456,691,1.0,1,African-American,Male,25 - 45
457,692,1.0,1,African-American,Male,25 - 45
458,693,1.0,1,Caucasian,Male,Greater than 45
459,694,0.0,1,Caucasian,Male,25 - 45
460,696,1.0,1,Hispanic,Male,25 - 45
461,697,0.0,1,Caucasian,Male,Greater than 45
462,700,1.0,1,African-American,Male,25 - 45
463,701,1.0,0,African-American,Male,25 - 45
464,703,0.0,0,Caucasian,Male,Greater than 45
465,704,0.0,0,African-American,Male,25 - 45
466,707,1.0,0,Hispanic,Male,Less than 25
467,708,1.0,1,African-American,Male,Greater than 45
468,709,1.0,1,African-American,Male,25 - 45
469,711,1.0,1,African-American,Female,Less than 25
470,712,0.0,0,African-American,Male,Greater than 45
471,713,1.0,1,African-American,Male,Greater than 45
472,715,1.0,1,Hispanic,Male,Less than 25
473,716,0.0,0,African-American,Male,25 - 45
474,718,1.0,1,African-American,Male,Less than 25
475,720,0.0,0,Caucasian,Male,Greater than 45
476,721,1.0,0,Hispanic,Male,Less than 25
477,722,0.0,0,Caucasian,Male,25 - 45
478,724,0.0,0,Caucasian,Female,Greater than 45
479,726,1.0,1,Caucasian,Male,25 - 45
480,727,0.0,0,Caucasian,Male,Greater than 45
481,728,0.0,1,Hispanic,Male,25 - 45
482,729,0.0,1,Caucasian,Male,Greater than 45
483,730,1.0,0,Asian,Male,25 - 45
484,731,0.0,0,Hispanic,Male,Greater than 45
485,732,0.0,0,Hispanic,Male,25 - 45
486,737,1.0,1,Hispanic,Female,Less than 25
487,738,1.0,1,Hispanic,Male,Less than 25
488,739,1.0,0,African-American,Male,25 - 45
489,740,1.0,1,Asian,Male,Greater than 45
490,743,0.0,0,African-American,Female,25 - 45
491,745,0.0,0,Hispanic,Female,25 - 45
492,750,1.0,1,Hispanic,Male,25 - 45
493,752,0.0,1,Caucasian,Male,25 - 45
494,753,0.0,0,African-American,Male,Greater than 45
495,754,0.0,1,African-American,Male,25 - 45
496,756,0.0,0,Caucasian,Female,Greater than 45
497,757,1.0,0,African-American,Male,25 - 45
498,758,1.0,1,Hispanic,Female,Less than 25
499,760,1.0,1,Caucasian,Male,25 - 45
500,762,0.0,1,African-American,Male,25 - 45
501,763,1.0,1,Hispanic,Male,25 - 45
502,764,0.0,0,Hispanic,Male,Greater than 45
503,765,1.0,1,African-American,Male,Greater than 45
504,769,1.0,0,Caucasian,Male,25 - 45
505,770,0.0,0,Hispanic,Male,Greater than 45
506,771,0.0,0,Caucasian,Male,25 - 45
507,774,1.0,0,Caucasian,Male,25 - 45
508,775,0.0,0,Caucasian,Male,Greater than 45
509,779,0.0,0,African-American,Female,25 - 45
510,781,1.0,0,African-American,Male,Greater than 45
511,785,0.0,0,African-American,Female,25 - 45
512,786,0.0,0,Caucasian,Female,Greater than 45
513,787,0.0,0,Hispanic,Male,25 - 45
514,788,0.0,0,African-American,Male,25 - 45
515,789,0.0,0,African-American,Male,25 - 45
516,790,0.0,0,African-American,Male,25 - 45
517,792,0.0,0,Asian,Female,25 - 45
518,793,1.0,1,African-American,Male,Greater than 45
519,794,1.0,1,African-American,Male,25 - 45
520,796,0.0,0,Hispanic,Male,Less than 25
521,798,1.0,1,African-American,Male,Greater than 45
522,800,1.0,1,African-American,Male,Greater than 45
523,803,1.0,0,African-American,Male,Greater than 45
524,804,0.0,1,African-American,Female,Less than 25
525,805,0.0,1,Caucasian,Male,25 - 45
526,806,0.0,0,Caucasian,Female,Less than 25
527,807,1.0,0,Hispanic,Male,Less than 25
528,808,0.0,0,African-American,Male,25 - 45
529,810,0.0,1,African-American,Male,25 - 45
530,812,0.0,0,African-American,Male,25 - 45
531,813,0.0,1,Caucasian,Male,25 - 45
532,814,0.0,1,Caucasian,Male,25 - 45
533,815,0.0,1,Caucasian,Male,Less than 25
534,817,0.0,0,African-American,Male,25 - 45
535,818,0.0,0,African-American,Male,25 - 45
536,820,1.0,0,African-American,Male,25 - 45
537,821,1.0,0,African-American,Female,25 - 45
538,823,1.0,1,African-American,Male,25 - 45
539,825,1.0,1,Hispanic,Male,Less than 25
540,829,1.0,1,Hispanic,Male,Less than 25
541,830,1.0,1,Hispanic,Male,Less than 25
542,831,0.0,0,African-American,Male,Greater than 45
543,835,1.0,1,African-American,Male,25 - 45
544,836,0.0,1,African-American,Male,25 - 45
545,837,1.0,1,Caucasian,Male,Greater than 45
546,838,0.0,0,African-American,Male,25 - 45
547,840,1.0,0,Hispanic,Male,25 - 45
548,841,0.0,0,Hispanic,Male,Less than 25
549,842,0.0,0,Hispanic,Female,Greater than 45
550,843,1.0,0,Caucasian,Male,25 - 45
551,844,1.0,0,Caucasian,Male,Greater than 45
552,847,1.0,0,Caucasian,Male,25 - 45
553,848,0.0,0,African-American,Female,Greater than 45
554,849,0.0,1,Asian,Male,25 - 45
555,850,1.0,1,African-American,Male,Less than 25
556,851,0.0,0,Caucasian,Male,Greater than 45
557,852,1.0,1,African-American,Male,Less than 25
558,853,0.0,0,Caucasian,Male,Greater than 45
559,855,0.0,0,Caucasian,Male,25 - 45
560,856,1.0,0,Hispanic,Male,25 - 45
561,857,1.0,1,African-American,Male,25 - 45
562,858,0.0,0,African-American,Female,25 - 45
563,859,1.0,0,African-American,Female,Less than 25
564,861,0.0,1,Caucasian,Male,25 - 45
565,863,0.0,0,Caucasian,Male,25 - 45
566,864,1.0,0,Hispanic,Male,Less than 25
567,867,0.0,1,Caucasian,Male,25 - 45
568,869,0.0,0,Caucasian,Male,25 - 45
569,870,0.0,1,African-American,Male,25 - 45
570,871,0.0,0,Asian,Male,25 - 45
571,872,1.0,0,African-American,Male,25 - 45
572,874,1.0,0,Hispanic,Male,25 - 45
573,875,0.0,0,African-American,Female,25 - 45
574,879,0.0,0,African-American,Male,Less than 25
